period,price,volume
2015-12-30,4175,118802
2016-01-04,4030,120942
2016-01-05,4060,123206
2016-01-06,4020,146421
2016-01-07,3870,181785
2016-01-08,3845,142656
2016-01-11,3650,163685
2016-01-12,3635,65147
2016-01-13,3660,144223
2016-01-14,3430,358700
2016-01-15,3410,95021
2016-01-18,3560,108623
2016-01-19,3460,122140
2016-01-20,3345,104249
2016-01-21,3385,129482
2016-01-22,3500,72063
2016-01-25,3630,52987
2016-01-26,3520,88843
2016-01-27,3505,58071
2016-01-28,3545,54349
2016-01-29,3520,99593
2016-02-01,3500,59159
2016-02-02,3335,120323
2016-02-03,3395,66585
2016-02-04,3440,52757
2016-02-05,3505,70619
2016-02-11,3415,105803
2016-02-12,3345,185329
2016-02-15,3400,82556
2016-02-16,3485,83443
2016-02-17,3470,83091
2016-02-18,3435,137783
2016-02-19,3300,172504
2016-02-22,3340,131541
2016-02-23,3275,96618
2016-02-24,3260,117990
2016-02-25,3275,43963
2016-02-26,3370,67990
2016-02-29,3370,32554
2016-03-02,3385,116805
2016-03-03,3375,84311
2016-03-04,3370,42075
2016-03-07,3375,45801
2016-03-08,3355,59489
2016-03-09,3345,53454
2016-03-10,3350,95703
2016-03-11,3375,77919
2016-03-14,3470,139149
2016-03-15,3465,68888
2016-03-16,3435,71656
2016-03-17,3515,209373
2016-03-18,3515,68723
2016-03-21,3490,90374
2016-03-22,3470,29054
2016-03-23,3475,41829
2016-03-24,3465,41590
2016-03-25,3535,105567
2016-03-28,3490,51048
2016-03-29,3495,95272
2016-03-30,3490,107681
2016-03-31,3530,98635
2016-04-01,3505,186787
2016-04-04,3535,83393
2016-04-05,3560,99901
2016-04-06,3545,43691
2016-04-07,3630,199687
2016-04-08,3795,302375
2016-04-11,3860,135349
2016-04-12,3870,130744
2016-04-14,3790,77226
2016-04-15,3755,103617
2016-04-18,3760,50494
2016-04-19,3815,115307
2016-04-20,3850,136963
2016-04-21,3860,126174
2016-04-22,3840,93353
2016-04-25,3760,94006
2016-04-26,3845,167255
2016-04-27,3820,87701
2016-04-28,3810,76697
2016-04-29,3810,64526
2016-05-02,3715,41674
2016-05-03,3880,171997
2016-05-04,3860,122065
2016-05-09,3780,95890
2016-05-10,3785,105308
2016-05-11,3755,50932
2016-05-12,3740,82032
2016-05-13,3740,29715
2016-05-16,3710,63690
2016-05-17,3655,112254
2016-05-18,3470,101213
2016-05-19,3465,55086
2016-05-20,3480,97820
2016-05-23,3515,142502
2016-05-24,3535,94338
2016-05-25,3525,77670
2016-05-26,3535,59284
2016-05-27,3550,42914
2016-05-30,3530,106099
2016-05-31,3500,85477
2016-06-01,3430,98110
2016-06-02,3425,99993
2016-06-03,3450,40382
2016-06-07,3420,72334
2016-06-08,3425,33958
2016-06-09,3415,99287
2016-06-10,3470,65040
2016-06-13,3425,24141
2016-06-14,3435,44472
2016-06-15,3410,52149
2016-06-16,3255,107371
2016-06-17,3295,64071
2016-06-20,3335,20824
2016-06-21,3350,39607
2016-06-22,3330,36007
2016-06-23,3280,72763
2016-06-24,3150,167230
2016-06-27,3205,56676
2016-06-28,3270,50752
2016-06-29,3340,16953
2016-06-30,3345,26413
2016-07-01,3400,36331
2016-07-04,3395,15227
2016-07-05,3360,38464
2016-07-06,3325,30291
2016-07-07,3360,8689
2016-07-08,3365,11558
2016-07-11,3395,38101
2016-07-12,3380,48172
2016-07-13,3450,78045
2016-07-14,3465,40167
2016-07-15,3465,58184
2016-07-18,3445,31362
2016-07-19,3570,164986
2016-07-20,3525,40462
2016-07-21,3550,60442
2016-07-22,3525,56341
2016-07-25,3550,54961
