period,price,volume,ratio
2018-12-20,2000.0,594337.0,12.69487
2018-12-21,2005.0,42368.0,1.3363
2018-12-24,2025.0,95959.0,2.00445
2018-12-26,2020.0,41115.0,1.3363
2018-12-27,2025.0,2522.0,2.44988
2019-01-02,2010.0,6872.0,1.78173
2019-01-03,2020.0,22001.0,2.00445
2019-01-04,2020.0,0.0,1.11358
2019-01-08,2020.0,280.0,1.11358
2019-01-09,2025.0,3403.0,1.11358
2019-01-21,2020.0,80.0,1.11358
2019-01-24,2020.0,0.0,1.11358
2019-01-31,2025.0,11212.0,1.11358
2019-02-01,2030.0,25675.0,1.11358
2019-02-13,2025.0,492.0,1.3363
2019-02-19,2020.0,44284.0,1.3363
2019-02-25,2015.0,0.0,1.55902
2019-02-26,2010.0,88724.0,3.11804
2019-02-27,2025.0,162.0,1.55902
2019-03-08,2020.0,3691.0,1.11358
2019-03-11,2025.0,15387.0,3.34075
2019-03-12,2025.0,43614.0,1.78173
2019-03-13,2030.0,2831.0,1.55902
2019-03-14,2030.0,111.0,1.11358
2019-03-21,2035.0,5000.0,1.55902
2019-03-26,2040.0,1728.0,1.3363
2019-04-09,2040.0,0.0,1.55902
2019-04-16,2060.0,345.0,1.11358
2019-04-19,2075.0,21826.0,1.3363
2019-04-22,2070.0,1740.0,1.55902
2019-04-23,2095.0,4881.0,2.00445
2019-04-24,2110.0,3243.0,2.00445
2019-04-25,2100.0,6329.0,2.00445
2019-04-26,2100.0,15613.0,2.00445
2019-04-29,2105.0,4010.0,1.3363
2019-05-02,2100.0,4579.0,1.78173
2019-05-03,2070.0,23855.0,1.78173
2019-05-08,2100.0,2681.0,1.3363
2019-05-09,2100.0,33987.0,3.78619
2019-05-10,2110.0,16263.0,2.00445
2019-05-13,2120.0,16766.0,4.0089
2019-05-14,2085.0,1516179.0,100.0
2019-05-15,2075.0,123400.0,22.271710000000002
2019-05-16,2080.0,44627.0,10.022269999999999
2019-05-17,2080.0,13624.0,4.2316199999999995
2019-05-20,2070.0,16341.0,4.67706
2019-05-21,2070.0,28578.0,2.89532
2019-05-22,2080.0,10001.0,3.78619
2019-05-23,2080.0,6364.0,1.3363
2019-05-24,2095.0,13004.0,2.6726
2019-05-27,2100.0,2868.0,1.3363
2019-05-30,2085.0,3700.0,1.55902
2019-05-31,2115.0,7150.0,2.89532
2019-06-03,2130.0,5435.0,2.6726
2019-06-04,2105.0,1666.0,1.3363
2019-06-05,2125.0,3268.0,1.3363
2019-06-10,2110.0,148737.0,2.00445
2019-06-11,2115.0,10957.0,1.11358
2019-06-12,2130.0,18768.0,1.78173
2019-06-13,2120.0,4394.0,1.55902
2019-06-14,2130.0,10197.0,1.78173
2019-06-17,2165.0,8554.0,2.6726
2019-06-18,2150.0,17172.0,3.34075
2019-06-20,2185.0,3466.0,2.89532
2019-06-21,2185.0,4396.0,3.34075
2019-06-24,2180.0,55.0,1.11358
2019-06-25,2180.0,18307.0,2.22717
2019-07-05,2195.0,1098.0,1.55902
2019-07-10,2190.0,18541.0,1.78173
2019-07-23,2185.0,245.0,1.11358
2019-07-24,2180.0,2228.0,2.89532
2019-07-26,2190.0,231.0,1.55902
2019-08-01,2205.0,1280.0,1.3363
2019-08-09,2145.0,0.0,1.3363
2019-09-11,2215.0,11.0,2.89532
2019-09-16,2215.0,775.0,2.00445
2019-09-17,2185.0,12781.0,1.55902
2019-09-18,2195.0,1386.0,1.11358
2019-09-19,2190.0,7.0,2.00445
2019-09-20,2195.0,20011.0,1.11358
